source,url,publication,bias,factualness,country
news.abs-cbn.com,https://mediabiasfactcheck.com/abs-cbn-news/,ABS-CBN News,least_biased,high,Philippines
adfontesmedia.com,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,Ad Fontes Media,least_biased,high,USA
adweek.com,https://mediabiasfactcheck.com/adweek/,Adweek,least_biased,high,USA
ansa.it,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,Agenzia Nazionale Stampa Associata (ANSA),least_biased,high,Italy
airforcetimes.com,https://mediabiasfactcheck.com/air-force-times/,Air Force Times,least_biased,high,USA
allafrica.com,https://mediabiasfactcheck.com/allafrica/,AllAfrica,least_biased,high,South Africa
amarillo.com,https://mediabiasfactcheck.com/amarillo-globe-news/,Amarillo Globe-News,least_biased,high,USA
americanheritage.com,https://mediabiasfactcheck.com/american-heritage/,American Heritage,least_biased,high,USA
armytimes.com,https://mediabiasfactcheck.com/army-times/,Army Times,least_biased,high,USA
asiatimes.com,https://mediabiasfactcheck.com/asia-times/,Asia Times,least_biased,high,Hong King
atlasobscura.com,https://mediabiasfactcheck.com/atlas-obscura/,Atlas Obscura,least_biased,high,USA
bnd.com,https://mediabiasfactcheck.com/belleville-news-democrat/,Belleville News-Democrat,least_biased,high,USA
bettergov.org,https://mediabiasfactcheck.com/better-government-association/,Better Government Association,least_biased,high,USA
bigthink.com,https://mediabiasfactcheck.com/big-think/,Big Think,least_biased,high,USA
bismarcktribune.com,https://mediabiasfactcheck.com/bismarck-tribune/,Bismarck Tribune,least_biased,high,USA
bleepingcomputer.com,https://mediabiasfactcheck.com/bleeping-computer-bias-rating/,Bleeping Computer,least_biased,high,USA
bozemandailychronicle.com,https://mediabiasfactcheck.com/bozeman-daily-chronicle/,Bozeman Daily Chronicle,least_biased,high,USA
bullshido.net,https://mediabiasfactcheck.com/bullshido/,Bullshido,least_biased,high,USA
capecodtimes.com,https://mediabiasfactcheck.com/cape-cod-times/,Cape Cod Times,least_biased,high,USA
capitolfax.com,https://mediabiasfactcheck.com/capitol-fax/,Capitol Fax,least_biased,high,USA
trib.com,https://mediabiasfactcheck.com/casper-star-tribune/,Casper Star-Tribune,least_biased,high,USA
chinookobserver.com,https://mediabiasfactcheck.com/chinook-observer/,Chinook Observer,least_biased,high,USA
csmonitor.com,https://mediabiasfactcheck.com/christian-science-monitor/,Christian Science Monitor,least_biased,high,USA
cnet.com,https://mediabiasfactcheck.com/cnet/,CNET,least_biased,high,USA
ced.org,https://mediabiasfactcheck.com/committee-for-economic-development/,Committee for Economic Development,least_biased,high,USA
concordmonitor.com,https://mediabiasfactcheck.com/concord-monitor/,Concord Monitor,least_biased,high,USA
constitutioncenter.org,https://mediabiasfactcheck.com/constitution-daily/,Constitution Daily,least_biased,high,USA
consumerreports.org,https://mediabiasfactcheck.com/consumer-reports/,Consumer Reports,least_biased,high,USA
countable.us,https://mediabiasfactcheck.com/countable-news/,Countable,least_biased,high,USA
courthousenews.com,https://mediabiasfactcheck.com/courthouse-news-service/,Courthouse News Service,least_biased,high,USA
curiosity.com,https://mediabiasfactcheck.com/curiosity-com/,Curiosity.com,least_biased,high,USA
dccircuitbreaker.org,https://mediabiasfactcheck.com/d-c-circuit-breaker/,D.C. Circuit Breaker,least_biased,high,USA
daily-journal.com,https://mediabiasfactcheck.com/daily-journal-illinois/,Daily Journal (Illinois),least_biased,high,USA
dailyjournalonline.com,https://mediabiasfactcheck.com/daily-journal-missouri/,Daily Journal (Missouri),least_biased,high,USA
dailymaverick.co.za,https://mediabiasfactcheck.com/daily-maverick/,Daily Maverick,least_biased,high,South Africa
daytondailynews.com,https://mediabiasfactcheck.com/dayton-daily-news/,Dayton Daily News,least_biased,high,USA
defensenews.com,https://mediabiasfactcheck.com/defense-news/,Defense News,least_biased,high,USA
