url,publication,bias,factual,country
https://mediabiasfactcheck.com/abs-cbn-news/,ABS-CBN News,LEAST BIASED,HIGH,Philippines
https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,Ad Fontes Media,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/adweek/,Adweek,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,Agenzia Nazionale Stampa Associata (ANSA),LEAST BIASED,HIGH,Italy
https://mediabiasfactcheck.com/air-force-times/,Air Force Times,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/allafrica/,AllAfrica,LEAST BIASED,HIGH,South Africa
https://mediabiasfactcheck.com/amarillo-globe-news/,Amarillo Globe-News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/american-heritage/,American Heritage,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/army-times/,Army Times,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/asia-times/,Asia Times,LEAST BIASED,HIGH,Hong King
https://mediabiasfactcheck.com/atlas-obscura/,Atlas Obscura,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/belleville-news-democrat/,Belleville News-Democrat,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/better-government-association/,Better Government Association,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/big-think/,Big Think,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/biloxi-sun-herald/,Biloxi Sun Herald,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/bismarck-tribune/,Bismarck Tribune,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/bleeping-computer-bias-rating/,Bleeping Computer,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/bozeman-daily-chronicle/,Bozeman Daily Chronicle,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/bullshido/,Bullshido,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/cape-cod-times/,Cape Cod Times,LEAST BIASED,HIGH,USA
